                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1343,                 1.8131,                  1.167,                0.96709,                0.55556,                0.97965,                0.67696,                0.84002,                 2.4201,                0.99521,             0.00046933,             0.00046933,             0.00046933
                      2,                0.94736,                0.98279,                 1.0355,                0.97211,                0.89694,                0.98124,                0.68797,                0.83975,                0.86004,                 0.9861,             0.00093942,             0.00093942,             0.00093942
                      3,                0.92793,                 0.8719,                 1.0438,                0.95042,                 0.9528,                0.94508,                0.65629,                0.85198,                0.78704,                 1.0061,              0.0014032,              0.0014032,              0.0014032
                      4,                0.92436,                 0.7754,                  1.063,                0.96752,                0.95658,                0.98287,                0.68672,                0.82072,                0.48966,                 1.0011,              0.0014007,              0.0014007,              0.0014007
                      5,                0.89277,                0.69919,                 1.0362,                0.84168,                0.91465,                0.94183,                0.65934,                0.81347,                0.47994,                0.99936,              0.0014007,              0.0014007,              0.0014007
                      6,                 0.8914,                0.64895,                 1.0476,                0.94084,                0.95794,                 0.9526,                0.65267,                0.78667,                0.47141,                0.98237,              0.0013913,              0.0013913,              0.0013913
                      7,                 0.8626,                 0.5858,                 1.0297,                 0.9659,                0.99813,                0.99295,                0.69282,                0.82117,                0.41084,                0.98267,              0.0013818,              0.0013818,              0.0013818
                      8,                0.84589,                 0.5548,                 1.0238,                0.97903,                0.99934,                  0.995,                0.69189,                0.79699,                0.38568,                0.99985,              0.0013724,              0.0013724,              0.0013724
                      9,                0.83296,                0.52557,                 1.0163,                  0.962,                0.99954,                  0.995,                0.70688,                0.79975,                0.37525,                0.99935,               0.001363,               0.001363,               0.001363
                     10,                0.82176,                0.51079,                 1.0148,                0.95034,                0.99658,                0.99295,                0.70887,                0.78941,                 0.3941,                0.98361,              0.0013535,              0.0013535,              0.0013535
                     11,                0.82311,                0.50685,                 1.0153,                0.97646,                0.99547,                  0.995,                0.73192,                0.74381,                0.34398,                0.97021,              0.0013441,              0.0013441,              0.0013441
                     12,                0.81704,                0.48601,                 1.0103,                0.98314,                 0.9621,                  0.995,                0.71034,                0.75303,                0.34362,                0.96791,              0.0013347,              0.0013347,              0.0013347
                     13,                0.80952,                0.47407,                 1.0058,                0.98117,                      1,                  0.995,                0.73578,                0.79524,                0.36646,                0.98145,              0.0013253,              0.0013253,              0.0013253
                     14,                 0.8055,                0.47781,                 1.0075,                0.98982,                 0.9716,                0.98833,                0.72281,                0.77608,                0.36696,                 0.9869,              0.0013158,              0.0013158,              0.0013158
                     15,                0.82213,                 0.4703,                 1.0187,                0.99164,                0.97042,                0.99119,                0.71343,                0.80574,                0.36464,                 0.9874,              0.0013064,              0.0013064,              0.0013064
                     16,                0.79517,                0.45402,                 0.9985,                0.96985,                0.97222,                0.98833,                0.73637,                 0.7792,                0.36421,                0.97608,               0.001297,               0.001297,               0.001297
                     17,                0.78699,                0.44485,                0.99717,                0.95635,                      1,                0.99295,                0.74099,                 0.7707,                0.36476,                0.98094,              0.0012875,              0.0012875,              0.0012875
                     18,                0.78422,                0.43509,                0.99201,                0.98508,                 0.9962,                  0.995,                0.72386,                0.76721,                0.33168,                0.97816,              0.0012781,              0.0012781,              0.0012781
                     19,                0.78803,                0.44566,                 1.0018,                0.98706,                0.97222,                0.99295,                0.74536,                0.72899,                0.33787,                0.95921,              0.0012687,              0.0012687,              0.0012687
                     20,                0.75764,                0.42667,                0.98091,                0.97873,                      1,                  0.995,                0.73807,                0.74361,                 0.3246,                0.95604,              0.0012592,              0.0012592,              0.0012592
                     21,                0.77859,                0.43441,                0.98998,                 0.9686,                0.99958,                0.99295,                0.71957,                0.76318,                 0.3265,                0.98348,              0.0012498,              0.0012498,              0.0012498
                     22,                 0.7731,                0.42846,                0.99222,                0.98195,                0.97059,                0.99295,                0.73898,                0.74327,                0.33596,                0.95593,              0.0012404,              0.0012404,              0.0012404
                     23,                0.77699,                0.42447,                0.99687,                0.99529,                      1,                  0.995,                0.71822,                0.79952,                0.33292,                0.99365,              0.0012309,              0.0012309,              0.0012309
                     24,                0.76374,                0.40998,                0.98798,                0.93762,                 0.9943,                0.99295,                0.72948,                0.75403,                0.34436,                0.98068,              0.0012215,              0.0012215,              0.0012215
                     25,                0.75738,                0.41039,                0.99052,                0.99105,                0.96883,                0.98967,                0.75835,                0.75669,                0.31604,                0.98024,              0.0012121,              0.0012121,              0.0012121
                     26,                0.75745,                0.40834,                0.99011,                0.98947,                0.99425,                  0.995,                0.74075,                0.75442,                0.33079,                0.95936,              0.0012026,              0.0012026,              0.0012026
                     27,                0.75079,                0.40365,                0.98663,                0.99292,                0.97222,                0.99295,                0.75863,                0.74758,                0.31671,                0.97572,              0.0011932,              0.0011932,              0.0011932
                     28,                0.74346,                0.40125,                0.98264,                0.94227,                0.97997,                0.97508,                0.70733,                0.76851,                0.32597,                0.97778,              0.0011838,              0.0011838,              0.0011838
                     29,                0.73456,                 0.3948,                0.97816,                  0.982,                0.99727,                  0.995,                0.72347,                0.75201,                0.30938,                0.97546,              0.0011744,              0.0011744,              0.0011744
                     30,                0.73849,                0.39182,                0.97923,                0.94089,                      1,                 0.9909,                0.74088,                0.75442,                0.31007,                0.96956,              0.0011649,              0.0011649,              0.0011649
                     31,                 0.7222,                0.38109,                0.96796,                0.96299,                0.99957,                 0.9909,                0.73419,                0.74528,                0.32325,                0.97647,              0.0011555,              0.0011555,              0.0011555
